index,room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
135,22887113,75614672,Private room,,,,"Almagro, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T16:58:35Z,-34.611875,-58.41379,1,0101000020E6100000B7B41A12F7344DC0B81E85EB514E41C0,,,Habitación con baño privado a metros de la UBA,Dorm,ARS,nightly
136,22565400,73422510,Private room,,,,"San Nicolas, Buenos Aires, Argentina",6,5.0,2,1.0,1.0,202.0,0,,2018-02-08T16:58:35Z,-34.599904,-58.385224,1,0101000020E610000031D120054F314DC0AB5E7EA7C94C41C0,,,Cosy big room in BA's center,Apartment,ARS,nightly
137,19514944,133458203,Private room,,,,"Almagro, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T16:58:35Z,-34.600888,-58.424607,1,0101000020E61000008B53AD8559364DC08847E2E5E94C41C0,,,Habitación privada- excelente ubicación,Apartment,ARS,nightly
138,13941121,82922210,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.602883,-58.48566,1,0101000020E6100000D97C5C1B2A3E4DC03D2828452B4D41C0,,,Excelente habitacion en Villa del Parque,Other,ARS,nightly
139,19337342,91795847,Private room,,,,"Capital Federal, Buenos Aires, Argentina",28,4.5,2,1.0,0.0,202.0,0,,2018-02-08T16:58:35Z,-34.604425,-58.385928,1,0101000020E61000002B4EB51666314DC041F163CC5D4D41C0,,,&amp;Very Central*Easy Transport *Simple Quiet *Sober*,Apartment,ARS,nightly
140,5309352,27502742,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.61509,-58.436456,1,0101000020E61000004D124BCADD374DC05F0CE544BB4E41C0,,,"Petit Atelier, little &amp; cozy room",Apartment,ARS,nightly
141,21565581,108555262,Private room,,,,"Almagro, Buenos Aires, Argentina",12,5.0,2,1.0,1.0,222.0,0,,2018-02-08T17:16:23Z,-34.611337,-58.430029,1,0101000020E610000071AAB5300B374DC0D9EA724A404E41C0,,,Private bathroom &amp; terrace in Almagro,House,ARS,nightly
142,8106081,42390993,Private room,,,,"Buenos Aires, Buenos Aires, Argentina",0,,2,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.581509,-58.459968,1,0101000020E6100000709A3E3BE03A4DC032AA0CE36E4A41C0,,,Great Private Bedroom in Colegiales,House,ARS,nightly
143,11652160,61812064,Private room,,,,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",6,5.0,1,1.0,1.0,202.0,0,,2018-02-08T16:58:35Z,-34.605219,-58.396247,1,0101000020E6100000AE11C138B8324DC07BF5F1D0774D41C0,,,Habitaciones en casa de familia,Apartment,ARS,nightly
144,18977040,79595003,Private room,,,,"San Nicolas, Buenos Aires, Argentina",0,,4,2.0,1.0,202.0,0,,2018-02-08T16:58:35Z,-34.604589,-58.390474,1,0101000020E61000001AF8510DFB314DC0BB421F2C634D41C0,,,PISO/APARTAMENTO EN ZONA CENTRO DE BUENOS AIRES,Apartment,ARS,nightly
